Charge Type,Charge Group,Charge Category ,Charge Code,Charge Name,Base Rate,QATARI,GCC,Resident,SHC-GCC,RHC-GCC,SHC,RHC,Visitor,Servant,Handicap,Baby
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003529,Liothyronine Sodium 20 mcg TAB,3.295,0,0,2,0.329,0.329,0.329,0.329,4.448,0.659,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003531,Loratadine 1mg/mL (100 mL) SOL,1.081,0,0,2,0.108,0.108,0.108,0.108,1.459,0.216,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003532,Lithium Carbonate 400 mg TAB,1.176,0,0,2,0.118,0.118,0.118,0.118,1.587,0.235,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003533,LORazepam 1mg  TAB,0.17,0,0,2,0.017,0.017,0.017,0.017,0.229,0.034,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003535,Levothyroxine 500 mcg INJ,1994.659,0,0,398.932,199.466,199.466,199.466,199.466,2692.789,398.932,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003536,Levothyroxine sodium 25 mcg TAB,0.111,0,0,2,0.011,0.011,0.011,0.011,0.15,0.022,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003537,Desloratadine 5mg TAB,0.406,0,0,2,0.041,0.041,0.041,0.041,0.548,0.081,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,Oncology Medcations,8900003538,DOXOrubicin Liposomal 2 mg/mL (10 mL) INJ,1868.289,0,0,0,0,0,0,0,2522.191,0,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003539,Desloratadine 0.5mg/mL (150 mL) SOL,6.032,0,0,2,0.603,0.603,0.603,0.603,8.144,1.206,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003540,Eye Lubricant (Lacri-Lube) 3.5g OINT,8.51,0,0,2,0.851,0.851,0.851,0.851,11.488,1.702,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003542,Valsartan 160 mg + Amlodipine 5 mg TAB,2.727,0,0,2,0.273,0.273,0.273,0.273,3.681,0.545,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003543,Losartan/Hydrochlorthiazide 50mg/12.5mg TAB,1.51,0,0,2,0.151,0.151,0.151,0.151,2.039,0.302,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003544,Losartan 50mg TAB,1.683,0,0,2,0.168,0.168,0.168,0.168,2.272,0.337,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003545,Valsartan 80 mg TAB,1.488,0,0,2,0.149,0.149,0.149,0.149,2.009,0.298,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003546,Valsartan 160 mg + Hydrochlorothiazide 12.5 mg TAB,1.729,0,0,2,0.173,0.173,0.173,0.173,2.334,0.346,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003547,Valsartan 160 mg TAB,1.916,0,0,2,0.192,0.192,0.192,0.192,2.587,0.383,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003548,Valsartan 160 mg + Amlodipine 10 mg TAB,3.035,0,0,2,0.304,0.304,0.304,0.304,4.098,0.607,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003550,Levodopa/Carbidopa 100mg/25mg TAB,0.202,0,0,2,0.02,0.02,0.02,0.02,0.272,0.04,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003552,Levodopa/Carbidopa (controled release) 200mg/50mg TAB,0.718,0,0,2,0.072,0.072,0.072,0.072,0.969,0.144,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003553,Pramipexole 0.125mg TAB,1.318,0,0,2,0.132,0.132,0.132,0.132,1.779,0.264,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003554,Pramipexole 0.25mg TAB,2.166,0,0,2,0.217,0.217,0.217,0.217,2.924,0.433,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003555,Pramipexole 1mg TAB,7.057,0,0,2,0.706,0.706,0.706,0.706,9.527,1.411,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003556,Levodopa/Carbidopa/Entecapone 50/12.5/200mg TAB,2.738,0,0,2,0.274,0.274,0.274,0.274,3.696,0.548,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003557,Levodopa/Carbidopa/Entecapone 100/25/200mg TAB,2.741,0,0,2,0.274,0.274,0.274,0.274,3.7,0.548,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003558,Levodopa/Carbidopa/Entacapone 150/37.5/200mg TAB,2.739,0,0,2,0.274,0.274,0.274,0.274,3.698,0.548,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003559,Levodopa/Carbidopa/Entecapone 200/50/200mg TAB,3.475,0,0,2,0.347,0.347,0.347,0.347,4.691,0.695,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003560,Amsacrine 5 mg/mL (15mL) INJ,623.117,0,0,124.623,62.312,62.312,62.312,62.312,841.208,124.623,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003561,Busulfan 6 mg/mL (10mL) INJ,346.274,0,0,69.255,34.627,34.627,34.627,34.627,467.47,69.255,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003562,DAUNOrubicin 20 mg INJ,46.782,0,0,9.356,4.678,4.678,4.678,4.678,63.156,9.356,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003563,Defibrotide 80 mg/mL (2.5 mL) INJ,1899,0,0,379.8,189.9,189.9,189.9,189.9,2563.65,379.8,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003564,IDArubicin 1mg/mL (5 mL) INJ,449.725,0,0,89.945,44.973,44.973,44.973,44.973,607.129,89.945,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003565,IDArubicin 1 mg/mL (10 mL) INJ,293.276,0,0,58.655,29.328,29.328,29.328,29.328,395.922,58.655,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003566,Pentostatin 10 mg INJ,6752.5,0,0,1350.5,675.25,675.25,675.25,675.25,9115.875,1350.5,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003567,Thiotepa 15 mg INJ,716.965,0,0,143.393,71.697,71.697,71.697,71.697,967.903,143.393,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003568,Tretinoin 10mg CAP,2.24,0,0,2,0.224,0.224,0.224,0.224,3.024,0.448,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,Oncology Medcations,8900003569,Methotrexate 5000mg INJ,624.204,0,0,0,0,0,0,0,842.675,0,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003570,Lactulose 667mg/mL (300mL) Syrup,7.47,0,0,2,0.747,0.747,0.747,0.747,10.084,1.494,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003571,"Paraffin, Light (25 L)",37.963,0,0,7.593,3.796,3.796,3.796,3.796,51.249,7.593,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003572,Sacubitril/Valsartan 24mg/26mg TAB,7.665,0,0,2,0.767,0.767,0.767,0.767,10.348,1.533,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003573,Sacubitril/Valsartan 49mg/51mg TAB,7.665,0,0,2,0.767,0.767,0.767,0.767,10.348,1.533,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003574,Sacubitril-Valsartan (Entresto) 97 mg/103 mg TAB  ,7.665,0,0,2,0.767,0.767,0.767,0.767,10.348,1.533,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003577,Pramipexole 0.375mg TAB,4.453,0,0,2,0.445,0.445,0.445,0.445,6.012,0.891,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003578,Pramipexole 0.75mg TAB,7.63,0,0,2,0.763,0.763,0.763,0.763,10.301,1.526,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003579,Pramipexole 1.5mg TAB,13.921,0,0,2.784,1.392,1.392,1.392,1.392,18.793,2.784,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003580,Bupivacaine (Spinal) 0.5% (4 mL) INJ,2.416,0,0,2,0.242,0.242,0.242,0.242,3.261,0.483,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003593,Minoxidil 10 mg TAB,2.24,0,0,2,0.224,0.224,0.224,0.224,3.024,0.448,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003596,Minoxidil 5mg TAB,2.69,0,0,2,0.269,0.269,0.269,0.269,3.632,0.538,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003598,Posaconazole 100mg  TAB,121.547,0,0,24.309,12.155,12.155,12.155,12.155,164.089,24.309,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003599,Posaconazole 40mg/mL (105mL) SUSP,3602.63,0,0,720.526,360.263,360.263,360.263,360.263,4863.55,720.526,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003600,Metoclopramide 4mg/mL (15 mL) SOL,5.04,0,0,2,0.504,0.504,0.504,0.504,6.804,1.008,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003601,Megestrol 40 mg/mL (240 mL) SUSP,157.894,0,0,31.579,15.789,15.789,15.789,15.789,213.158,31.579,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,Oncology Medcations,8900003602,Melphalan 50mg INJ,325.972,0,0,0,0,0,0,0,440.062,0,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,Oncology Medcations,8900003603,Melphalan 2mg TAB,3.814,0,0,0,0,0,0,0,5.149,0,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003604,Metoclopramide 1mg/mL (150 mL) SOL,4,0,0,2,0.4,0.4,0.4,0.4,5.4,0.8,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003605,Aluminum OH 582mg/Magnesium OH 196mg/Oxetacain 20mg TAB,6.429,0,0,2,0.643,0.643,0.643,0.643,8.68,1.286,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003606,Methyldopa 250mg TAB,0.3,0,0,2,0.03,0.03,0.03,0.03,0.405,0.06,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003607,Methyldopa 500mg TAB,0.866,0,0,2,0.087,0.087,0.087,0.087,1.169,0.173,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003608,Aluminum-Magnesium Hydroxide Chew. TAB,0.038,0,0,2,0.004,0.004,0.004,0.004,0.051,0.008,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003610,Methacholine 100 mg Inhalation SOL,357.033,0,0,71.407,35.703,35.703,35.703,35.703,481.995,71.407,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003611,Chlormethine 10 mg/mL INJ,0,0,0,2,0,0,0,0,0,0,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003612,Proguanil HCL / Atovaquone 100mg/250mg TAB,10.103,0,0,2.021,1.01,1.01,1.01,1.01,13.639,2.021,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003613,Atovaquone/Proguanil 62.5mg/25mg TAB,4.314,0,0,2,0.431,0.431,0.431,0.431,5.824,0.863,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003614,Metoprolol Tartrate 50 mg TAB,0.513,0,0,2,0.051,0.051,0.051,0.051,0.693,0.103,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003615,Midazolam  10 mg/mL (5mL) Buccal SOL,188.238,0,0,37.648,18.824,18.824,18.824,18.824,254.122,37.648,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003617,Fluvastatin (extended release) 80mg TAB,2.449,0,0,2,0.245,0.245,0.245,0.245,3.306,0.49,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003618,Rosuvastatin 10 mg TAB,2.177,0,0,2,0.218,0.218,0.218,0.218,2.939,0.435,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003619,Rosuvastatin 20 mg TAB,3.717,0,0,2,0.372,0.372,0.372,0.372,5.018,0.743,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003620,MethylPREDNISolone Acetate Depot 40 mg/mL (1 mL) INJ,7.534,0,0,2,0.753,0.753,0.753,0.753,10.171,1.507,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003621,Midazolam 2mg/mL (118mL) SOL,495.751,0,0,99.15,49.575,49.575,49.575,49.575,669.264,99.15,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003622,Pravastatin 40mg TAB,0.416,0,0,2,0.042,0.042,0.042,0.042,0.562,0.083,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003623,Methylcellulose 1% Compound,2.918,0,0,2,0.292,0.292,0.292,0.292,3.94,0.584,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003625,Midazolam 5 mg/mL (3 mL) INJ,2.203,0,0,2,0.22,0.22,0.22,0.22,2.974,0.441,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003626,Letrozole 2.5mg TAB,6.08,0,0,2,0.608,0.608,0.608,0.608,8.208,1.216,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003627,Mebeverine Hydrochloride 135 mg TAB,0.131,0,0,2,0.013,0.013,0.013,0.013,0.177,0.026,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003628,Miconazole 2% (15g) Topical CRM,2.273,0,0,2,0.227,0.227,0.227,0.227,3.069,0.455,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003629,MetroNIDAZOLE  200mg TAB,0.046,0,0,2,0.005,0.005,0.005,0.005,0.063,0.009,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003630,MetroNIDAZOLE  500 mg TAB,0.118,0,0,2,0.012,0.012,0.012,0.012,0.159,0.024,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,Oncology Medcations,8900003631,Exemestane 25mg TAB,15.97,0,0,0,0,0,0,0,21.559,0,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003632,Mefloquine 250mg TAB,3.657,0,0,2,0.366,0.366,0.366,0.366,4.937,0.731,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003634,ZZ-SANDOCAL EFFER.(400-500MG CAL),0.665,0,0,2,0.066,0.066,0.066,0.066,0.897,0.133,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,Oncology Medcations,8900003635,PACLitaxel  6 mg/mL (25 mL) INJ,68.474,0,0,0,0,0,0,0,92.44,0,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,Oncology Medcations,8900003638,DOCEtaxel  20mg (10mg/mL) 2 mL INJ,507.845,0,0,0,0,0,0,0,685.591,0,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,Oncology Medcations,8900003640,DOCEtaxel  80mg (10mg/mL) 8 mL INJ,1326.111,0,0,0,0,0,0,0,1790.25,0,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003641,Metoclopramide 10mg TAB,0.071,0,0,2,0.007,0.007,0.007,0.007,0.096,0.014,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003642,Metoclopramide 5 mg/mL (2 mL) INJ,0.712,0,0,2,0.071,0.071,0.071,0.071,0.961,0.142,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003643,Pravastatin 20mg TAB,0.297,0,0,2,0.03,0.03,0.03,0.03,0.401,0.059,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003644,Metoclopramide 20mg SUPP,1.12,0,0,2,0.112,0.112,0.112,0.112,1.512,0.224,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003645,Mesterolone 25mg TAB,0.044,0,0,2,0.004,0.004,0.004,0.004,0.059,0.009,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,Chronic,8900003646,Mercaptopurine 50mg TAB,1.08,0,0,0.108,0.108,0.108,0.108,0.108,1.457,0.108,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003647,MedroxyPROGESTERone 150mg/mL (1 mL) INJ,15.584,0,0,3.117,1.558,1.558,1.558,1.558,21.038,3.117,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003648,MethylPREDNISolone Sod. Succinate 125 mg INJ,20.889,0,0,4.178,2.089,2.089,2.089,2.089,28.201,4.178,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003649,MetroNIDAZOLE  5 mg/mL (100 mL) INJ,4.607,0,0,2,0.461,0.461,0.461,0.461,6.22,0.921,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003650,Simvastatin 10 mg TAB,0.422,0,0,2,0.042,0.042,0.042,0.042,0.569,0.084,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003651,Simvastatin 20 mg TAB,0.947,0,0,2,0.095,0.095,0.095,0.095,1.278,0.189,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003652,Testosterone Propion 50 mg/mL (2 mL) INJ,116.136,0,0,23.227,11.614,11.614,11.614,11.614,156.784,23.227,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003653,Magnesium Sulfate 50% 500 mg/mL (10 mL) INJ,3.038,0,0,2,0.304,0.304,0.304,0.304,4.102,0.608,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003654,Mebendazole 100mg Chew. TAB,0.375,0,0,2,0.037,0.037,0.037,0.037,0.506,0.075,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,Chronic,8900003655,Methotrexate 25mg/mL (2mL) INJ,11.714,0,0,1.171,1.171,1.171,1.171,1.171,15.814,1.171,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003656,Metoclopramide 10mg SUPP,1.198,0,0,2,0.12,0.12,0.12,0.12,1.617,0.24,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003657,Methotrexate 2.5mg TAB,0.304,0,0,2,0.03,0.03,0.03,0.03,0.411,0.061,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003658,Ethinylestradiol 0.03 mg/Gestodene 0.075 mg TAB,0.69,0,0,2,0.069,0.069,0.069,0.069,0.931,0.138,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003659,Methylergometrine 0.2 mg/mL (1 mL) INJ,1.424,0,0,2,0.142,0.142,0.142,0.142,1.922,0.285,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,Chronic,8900003660,Methotrexate 50mg/mL (10mL) INJ,46.612,0,0,4.661,4.661,4.661,4.661,4.661,62.926,4.661,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003661,Levonorgestrel 150 mcg + Ethinyl Estradiol 30 mcg TAB,0.433,0,0,2,0.043,0.043,0.043,0.043,0.584,0.087,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003662,Methylergometrine 0.125mg TAB,0.527,0,0,2,0.053,0.053,0.053,0.053,0.712,0.105,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003663,Magnesium Sulfate 10% 100 mg/mL (10 mL) INJ,1.254,0,0,2,0.125,0.125,0.125,0.125,1.693,0.251,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003664,MetFORMIN  1000mg TAB,0.398,0,0,2,0.04,0.04,0.04,0.04,0.537,0.08,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003665,Maprotiline 25mg TAB,0.51,0,0,2,0.051,0.051,0.051,0.051,0.689,0.102,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003666,Maprotiline 50mg TAB,0.774,0,0,2,0.077,0.077,0.077,0.077,1.045,0.155,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003667,Agomelatine 25 mg TAB,4.164,0,0,2,0.416,0.416,0.416,0.416,5.621,0.833,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003668,Metoprolol 100mg TAB,0.986,0,0,2,0.099,0.099,0.099,0.099,1.331,0.197,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003669,Multivitamin 25 mL Oral DROP,10.089,0,0,2.018,1.009,1.009,1.009,1.009,13.62,2.018,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003671,MetFORMIN  500mg TAB,0.202,0,0,2,0.02,0.02,0.02,0.02,0.273,0.041,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003672,Multivitamin with Minerals TAB,0.046,0,0,2,0.005,0.005,0.005,0.005,0.062,0.009,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003673,Simvastatin 40 mg TAB,1.834,0,0,2,0.183,0.183,0.183,0.183,2.475,0.367,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003675,Escitalopram 10mg TAB,2.301,0,0,2,0.23,0.23,0.23,0.23,3.107,0.46,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003676,Escitalopram 20mg TAB,3.795,0,0,2,0.379,0.379,0.379,0.379,5.123,0.759,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003677,MethylPREDNISolone 4mg TAB,0.426,0,0,2,0.043,0.043,0.043,0.043,0.575,0.085,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003679,MetroNIDAZOLE  25mg/mL (100 mL) SUSP,1.751,0,0,2,0.175,0.175,0.175,0.175,2.364,0.35,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003680,Mebendazole 100mg/5mL SUSP (30mL),9.096,0,0,2,0.91,0.91,0.91,0.91,12.28,1.819,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900003681,Mometasone Furoate 0.1% (30mL) Lotion,18.25,0,0,3.65,1.825,1.825,1.825,1.825,24.638,3.65,0,0
